               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081131,            0.022412,                   0,             0.39491,             0.31405,             0.25722,            0.054102,            0.051633,            0.011285,                   0,            0.070182,           0.0033131,           0.0033131
                   1,            0.050751,            0.011635,                   0,             0.67069,             0.79567,             0.71719,             0.28403,            0.039586,           0.0098784,                   0,            0.040169,           0.0066333,           0.0066333
                   2,            0.044558,           0.0091579,                   0,             0.75141,             0.84933,             0.82293,              0.3352,            0.036589,           0.0094848,                   0,            0.010142,           0.0099403,           0.0099403
                   3,            0.039905,           0.0069288,                   0,             0.94779,             0.95464,             0.96561,             0.53488,            0.030204,           0.0063069,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.035743,           0.0056073,                   0,             0.95265,             0.93716,             0.94045,             0.53482,            0.034338,            0.005411,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.032656,           0.0049008,                   0,             0.95628,             0.95306,             0.96575,             0.59241,            0.028947,           0.0052846,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,             0.03087,           0.0044526,                   0,             0.98169,             0.98422,             0.99033,             0.63212,            0.024826,           0.0045426,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.029664,           0.0042181,                   0,             0.96866,              0.9722,             0.96918,             0.62324,            0.025045,           0.0045139,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.027971,           0.0039467,                   0,             0.98856,             0.99098,             0.99233,             0.66979,            0.023274,           0.0041491,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.026841,           0.0038681,                   0,             0.99481,             0.99023,             0.99263,             0.67667,            0.022274,           0.0039543,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.025966,           0.0036934,                   0,              0.9596,             0.94591,             0.93704,             0.62303,            0.025321,           0.0040074,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.026039,            0.003712,                   0,             0.96297,             0.95567,             0.96813,             0.62744,            0.023086,           0.0040614,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.025113,           0.0035828,                   0,             0.99028,             0.99249,             0.99234,             0.68896,             0.02051,             0.00368,                   0,           0.0097822,           0.0097822,           0.0097822
